dim;Iters;Tempo;ObjErro;SolutionErro;GAP
2;2;0.0010004043579101562;[[0.782490418498571]];1.341663561867874;0.1
6;2;0.0015807151794433594;[[0.786317207083953]];1.3491624810183984;0.1
10;2;0.0015914440155029297;[[0.786317207090392]];1.349162481030994;0.1
14;2;0.00199127197265625;[[0.786317207090392]];1.349162481030992;0.1
18;2;0.0016181468963623047;[[0.7863172070903923]];1.3491624810309937;0.1
22;2;0.0019583702087402344;[[0.7863172070903923]];1.3491624810309921;0.1
26;2;0.003973245620727539;[[0.7863172070903701]];1.3491624810309821;0.1
2;2;0.0010423660278320312;[[0.782490419539228]];1.341663564072536;0.01
6;2;0.0;[[0.786317207083953]];1.3491624810183982;0.01
10;2;0.0009996891021728516;[[0.786317207090392]];1.349162481030994;0.01
14;2;0.0009586811065673828;[[0.786317207090392]];1.349162481030992;0.01
18;2;0.0025446414947509766;[[0.7863172070903923]];1.3491624810309937;0.01
22;2;0.0035538673400878906;[[0.7863172070903923]];1.3491624810309921;0.01
26;2;0.002047300338745117;[[0.7863172070903701]];1.3491624810309821;0.01
2;5;0.0010063648223876953;[[0.005905233134063]];0.007013424568158785;0.0001
6;5;0.0010004043579101562;[[0.009039918804765]];0.013295911669700096;0.0001
10;5;0.001971721649169922;[[0.009039918811216]];0.013295911682615976;0.0001
14;5;0.0020439624786376953;[[0.009039918811227]];0.01329591168261724;0.0001
18;5;0.019095659255981445;[[0.009039918811215575]];0.013295911682617652;0.0001
22;5;0.006386995315551758;[[0.009039918811226677]];0.013295911682620239;0.0001
26;5;0.007009267807006836;[[0.00903991881123778]];0.01329591168263531;0.0001
2;8;0.0029981136322021484;[[4.169798617503773e-05]];7.636887311893095e-05;1e-06
6;9;0.005030632019042969;[[4.383417417930247e-05]];8.469645568522233e-05;1e-06
10;9;0.003998517990112305;[[4.38341806519027e-05]];8.469646861571182e-05;1e-06
14;9;0.003970146179199219;[[4.383418064080047e-05]];8.469646859293883e-05;1e-06
18;9;0.009384393692016602;[[4.38341806519027e-05]];8.469646860098137e-05;1e-06
22;9;0.01477670669555664;[[4.383418066300493e-05]];8.469646861544601e-05;1e-06
26;9;0.01013040542602539;[[4.383418068520939e-05]];8.469646864326107e-05;1e-06
2;11;0.019817352294921875;[[3.093953648836134e-07]];3.7337602126101325e-07;1e-08
6;12;0.008567094802856445;[[5.94377980167593e-07]];1.055627249880672e-06;1e-08
10;12;0.0054743289947509766;[[5.943844194611358e-07]];1.0556401596377078e-06;1e-08
14;12;0.006899118423461914;[[5.943844527678266e-07]];1.0556401959815057e-06;1e-08
18;12;0.021724224090576172;[[5.943844416655963e-07]];1.055640182958233e-06;1e-08
22;12;0.017345190048217773;[[5.943844527678266e-07]];1.055640197590139e-06;1e-08
26;12;0.01049041748046875;[[5.943844416655963e-07]];1.0556401890124915e-06;1e-08
2;14;0.0068929195404052734;[[2.264455289946454e-09]];4.162558642215259e-09;1e-10
6;15;0.006009340286254883;[[5.628830734849544e-09]];1.0590483247807848e-08;1e-10
10;15;0.0056324005126953125;[[5.635314437313355e-09]];1.0603405876217419e-08;1e-10
14;15;0.009500980377197266;[[5.635292232852862e-09]];1.0603366971090342e-08;1e-10
18;15;0.011961698532104492;[[5.635303335083108e-09]];1.060339685342647e-08;1e-10
22;15;0.01059412956237793;[[5.635303335083108e-09]];1.0603383775691523e-08;1e-10
26;15;0.011529207229614258;[[5.635303335083108e-09]];1.0603389492787118e-08;1e-10
