dim;Iters;Tempo;GAP
2.0;3.0;0.007508754730224609;0.1
6.0;3.0;0.00299835205078125;0.1
10.0;3.0;0.003341197967529297;0.1
14.0;3.0;0.0042836666107177734;0.1
18.0;3.0;0.01676654815673828;0.1
22.0;3.0;0.00594782829284668;0.1
26.0;3.0;0.0044939517974853516;0.1
2.0;3.0;0.003002643585205078;0.01
6.0;3.0;0.003998756408691406;0.01
10.0;3.0;0.0029990673065185547;0.01
14.0;3.0;0.00500035285949707;0.01
18.0;3.0;0.004008054733276367;0.01
22.0;3.0;0.00500035285949707;0.01
26.0;3.0;0.0074045658111572266;0.01
2.0;6.0;0.007611513137817383;0.0001
6.0;6.0;0.004049062728881836;0.0001
10.0;6.0;0.048241615295410156;0.0001
14.0;6.0;0.006171464920043945;0.0001
18.0;6.0;0.006252288818359375;0.0001
22.0;6.0;0.008584260940551758;0.0001
26.0;6.0;0.009485244750976562;0.0001
2.0;9.0;0.00599980354309082;1e-06
6.0;10.0;0.005999565124511719;1e-06
10.0;10.0;0.006999015808105469;1e-06
14.0;10.0;0.007862567901611328;1e-06
18.0;10.0;0.00920248031616211;1e-06
22.0;10.0;0.008998632431030273;1e-06
26.0;10.0;0.009052515029907227;1e-06
2.0;12.0;0.004997730255126953;1e-08
6.0;13.0;0.005999565124511719;1e-08
10.0;13.0;0.007027387619018555;1e-08
14.0;13.0;0.009643316268920898;1e-08
18.0;13.0;0.00961160659790039;1e-08
22.0;13.0;0.010345220565795898;1e-08
26.0;13.0;0.012201070785522461;1e-08
2.0;15.0;0.006056785583496094;1e-10
6.0;16.0;0.008513689041137695;1e-10
10.0;16.0;0.0070345401763916016;1e-10
14.0;16.0;0.0070803165435791016;1e-10
18.0;16.0;0.010074377059936523;1e-10
22.0;16.0;0.013179540634155273;1e-10
26.0;16.0;0.014513254165649414;1e-10
