dim;Iters;Tempo;ObjErro;SolutionErro;alfa
2;40;0.0710446834564209;[[66.90356039736288]];66.90994502555709;0.01
6;120;0.05009889602661133;[[29.944463780489627]];29.950888599837853;0.01
10;200;0.10366058349609375;[[13.404390583071013]];13.410814060033593;0.01
14;280;0.12813854217529297;[[6.002320887572643]];6.008741154441836;0.01
18;360;0.22145962715148926;[[2.689716245765028]];2.6961292790841025;0.01
22;440;0.3388826847076416;[[1.2072340448802898]];1.2136309263733276;0.01
26;520;0.5159337520599365;[[0.5437562884187619]];0.5501172613208791;0.01
2;40;0.015486478805541992;[[12.88305972035364]];12.914913604035672;0.05
6;120;0.04500150680541992;[[0.240362394503213]];0.2688447503242241;0.05
10;200;0.08106851577758789;[[0.006893310813283]];0.01040483773775187;0.05
14;280;0.11877298355102539;[[0.000162764353129]];0.00026943785013615464;0.05
18;291;0.1910536289215088;[[9.580431336031481e-05]];0.00015969249429864646;0.05
22;291;0.21849775314331055;[[9.580431334921258e-05]];0.00015969249430117783;0.05
26;291;0.2505488395690918;[[9.580431334921258e-05]];0.00015969249430190056;0.05
2;40;0.015000104904174805;[[1.539515288635973]];1.6012368698061819;0.1
6;120;0.048188209533691406;[[0.000834052495025]];0.001355585664930607;0.1
10;142;0.0600128173828125;[[9.60730461740944e-05]];0.00016130685401455426;0.1
14;142;0.11566805839538574;[[9.607304616299217e-05]];0.00016130685399142223;0.1
18;142;0.08985257148742676;[[9.607304618519663e-05]];0.00016130685400865262;0.1
22;142;0.10412955284118652;[[9.607304615188994e-05]];0.00016130685397856213;0.1
26;142;0.12010788917541504;[[9.60730461740944e-05]];0.0001613068540031004;0.1
2;40;0.012941598892211914;[[0.000127335862388]];0.000193638318039715;0.3
6;43;0.013999462127685547;[[7.168605483665047e-05]];0.00012214748460785433;0.3
10;43;0.013964653015136719;[[7.168605689056307e-05]];0.0001221474886915164;0.3
14;43;0.01400613784790039;[[7.168605691276753e-05]];0.0001221474887211644;0.3
18;43;0.024002552032470703;[[7.168605689056307e-05]];0.00012214748867490818;0.3
22;43;0.0322418212890625;[[7.168605689056307e-05]];0.00012214748869485503;0.3
26;43;0.07356786727905273;[[7.168605691276753e-05]];0.00012214748871696994;0.3
2;21;0.009004831314086914;[[9.537091480993354e-05]];0.0001450296567664223;0.5
6;22;0.009001970291137695;[[8.15979063650829e-05]];0.00013999459792813363;0.5
10;22;0.021541118621826172;[[8.159790977346759e-05]];0.00013999460473328846;0.5
14;22;0.026004791259765625;[[8.159790976236536e-05]];0.0001399946047254229;0.5
18;22;0.027390003204345703;[[8.159790977346759e-05]];0.0001399946047301818;0.5
22;22;0.047193050384521484;[[8.159790977346759e-05]];0.0001399946047293927;0.5
26;22;0.024001359939575195;[[8.159790977346759e-05]];0.0001399946047390604;0.5
2;13;0.003999233245849609;[[5.832511269510121e-05]];9.013507331048818e-05;0.7
6;14;0.00804901123046875;[[4.693993748139391e-05]];8.226746777652271e-05;0.7
10;14;0.010105371475219727;[[4.693994225535292e-05]];8.226747730809947e-05;0.7
14;14;0.008002042770385742;[[4.693994226645515e-05]];8.226747731035098e-05;0.7
18;14;0.013004302978515625;[[4.693994228865961e-05]];8.22674773258053e-05;0.7
22;14;0.011998653411865234;[[4.693994226645515e-05]];8.226747732251816e-05;0.7
26;14;0.01098775863647461;[[4.693994231086407e-05]];8.226747734495954e-05;0.7
2;12;0.005012989044189453;[[3.67496046926874e-05]];6.020384771501404e-05;0.8
6;12;0.00600886344909668;[[6.953116020724792e-05]];0.00012531128357019705;0.8
10;12;0.0050008296966552734;[[6.953116565844297e-05]];0.00012531129443152595;0.8
14;12;0.007002353668212891;[[6.95311656695452e-05]];0.00012531129443734836;0.8
18;12;0.009999513626098633;[[6.953116564734074e-05]];0.0001253112944247592;0.8
22;12;0.010998010635375977;[[6.953116564734074e-05]];0.000125311294425887;0.8
26;12;0.010999202728271484;[[6.95311656695452e-05]];0.00012531129446017314;0.8
2;10;0.004003763198852539;[[2.57624238719778e-05]];3.32388157730777e-05;0.9
6;10;0.0030014514923095703;[[5.680796415497014e-05]];9.383402400279348e-05;0.9
10;10;0.005061149597167969;[[5.680797028340123e-05]];9.383403626370898e-05;0.9
14;10;0.003026723861694336;[[5.6807970272299e-05]];9.383403626263487e-05;0.9
18;10;0.00707554817199707;[[5.6807970272299e-05]];9.383403626126596e-05;0.9
22;10;0.005998373031616211;[[5.680797028340123e-05]];9.383403626843518e-05;0.9
26;10;0.00600123405456543;[[5.680797028340123e-05]];9.38340362737679e-05;0.9
2;8;0.004002809524536133;[[4.16979861639355e-05]];7.636887310430478e-05;0.95
6;9;0.002998828887939453;[[4.383417417930247e-05]];8.469645568522233e-05;0.95
10;9;0.0035505294799804688;[[4.38341806519027e-05]];8.469646861571179e-05;0.95
14;9;0.004020214080810547;[[4.383418064080047e-05]];8.469646859293883e-05;0.95
18;9;0.005971431732177734;[[4.38341806519027e-05]];8.469646860098137e-05;0.95
