dim;Iters;Tempo;ObjErro;SolutionErro;alfa
2;40;0.0774071216583252;[[66.90356039736288]];66.90994502555709;0.01
6;120;0.0454096794128418;[[29.944463780489627]];29.950888599837853;0.01
10;200;0.0895073413848877;[[13.404390583071013]];13.410814060033593;0.01
14;280;0.12002730369567871;[[6.002320887572643]];6.008741154441836;0.01
18;360;0.2273719310760498;[[2.689716245765028]];2.6961292790841025;0.01
22;440;0.301802396774292;[[1.2072340448802898]];1.2136309263733276;0.01
26;520;0.42848777770996094;[[0.5437562884187619]];0.5501172613208791;0.01
2;40;0.013004779815673828;[[12.88305972035364]];12.914913604035672;0.05
6;120;0.04008913040161133;[[0.240362394503213]];0.2688447503242241;0.05
10;200;0.07443714141845703;[[0.006893310813283]];0.01040483773775187;0.05
14;280;0.1088404655456543;[[0.000162764353129]];0.00026943785013615464;0.05
18;291;0.1514897346496582;[[9.580431336031481e-05]];0.00015969249429864646;0.05
22;291;0.17017507553100586;[[9.580431334921258e-05]];0.00015969249430117783;0.05
26;291;0.20603036880493164;[[9.580431334921258e-05]];0.00015969249430190056;0.05
2;40;0.01319122314453125;[[1.539515288635973]];1.6012368698061819;0.1
6;120;0.04399895668029785;[[0.000834052495025]];0.001355585664930607;0.1
10;142;0.04900789260864258;[[9.60730461740944e-05]];0.00016130685401455426;0.1
14;142;0.05665421485900879;[[9.607304616299217e-05]];0.00016130685399142223;0.1
18;142;0.11701488494873047;[[9.607304618519663e-05]];0.00016130685400865262;0.1
22;142;0.10309028625488281;[[9.607304615188994e-05]];0.00016130685397856213;0.1
26;142;0.1003715991973877;[[9.60730461740944e-05]];0.0001613068540031004;0.1
2;40;0.013000011444091797;[[0.000127335862388]];0.000193638318039715;0.3
6;43;0.016098737716674805;[[7.168605483665047e-05]];0.00012214748460785433;0.3
10;43;0.01995706558227539;[[7.168605689056307e-05]];0.0001221474886915164;0.3
14;43;0.01695728302001953;[[7.168605691276753e-05]];0.0001221474887211644;0.3
18;43;0.024756193161010742;[[7.168605689056307e-05]];0.00012214748867490818;0.3
22;43;0.028110742568969727;[[7.168605689056307e-05]];0.00012214748869485503;0.3
26;43;0.033003807067871094;[[7.168605691276753e-05]];0.00012214748871696994;0.3
2;21;0.005998373031616211;[[9.537091480993354e-05]];0.0001450296567664223;0.5
6;22;0.007946252822875977;[[8.15979063650829e-05]];0.00013999459792813363;0.5
10;22;0.009567022323608398;[[8.159790977346759e-05]];0.00013999460473328846;0.5
14;22;0.0070002079010009766;[[8.159790976236536e-05]];0.0001399946047254229;0.5
18;22;0.015010356903076172;[[8.159790977346759e-05]];0.0001399946047301818;0.5
22;22;0.015130758285522461;[[8.159790977346759e-05]];0.0001399946047293927;0.5
26;22;0.018004417419433594;[[8.159790977346759e-05]];0.0001399946047390604;0.5
2;13;0.0044078826904296875;[[5.832511269510121e-05]];9.013507331048818e-05;0.7
6;14;0.005001068115234375;[[4.693993748139391e-05]];8.226746777652271e-05;0.7
10;14;0.003999233245849609;[[4.693994225535292e-05]];8.226747730809947e-05;0.7
14;14;0.006000518798828125;[[4.693994226645515e-05]];8.226747731035098e-05;0.7
18;14;0.00699925422668457;[[4.693994228865961e-05]];8.22674773258053e-05;0.7
22;14;0.009015798568725586;[[4.693994226645515e-05]];8.226747732251816e-05;0.7
26;14;0.010998725891113281;[[4.693994231086407e-05]];8.226747734495954e-05;0.7
